,Summary,Date,JobTitle,AuthorLocation,OverallRating,Pros,Cons,Company,negative,neutral,positive,compound
378,okay,"Jan 24, 2015", ,"New York, NY",4.0,gratis promoted if you work hard,salary hard selling of expensive products poor training,L'Occitane,0.0,0.0,1.0,0.2263
379,too much control,"Jan 22, 2015", Sales Associate/Keyholder,"New York, NY",2.0,product is special truly the best way to enjoy the south of france without the flight to paris and driving to provence,its very true all of the observations offered here training crammed on you while selling at the same time,L'Occitane,0.0,1.0,0.0,0.0
380,a trip to provence in your hometown,"Nov 11, 2014", Full-Time Sales Associate,"Oakbrook Terrace, IL",3.0,it was an honor working for this company beautiful environment product education like opening a good book entrancing in the spell that is cast,better communication from between company and associates other than email that is to be monitored thru out the day constant barrage of events that are no longer special or create excitement consumers are jaded by this,L'Occitane,0.0,1.0,0.0,0.0
381,its a good job to start off with,"Nov 8, 2014", Sales Associate/Keyholder,"Los Angeles, CA",2.0,boutique like environment is very nice,leadership is overbearing and annoying,L'Occitane,0.0,0.674,0.326,0.4404
382,relaxing enjoyable and respectable retail experience,"Nov 2, 2014", Sales Associate/Keyholder,"Vancouver, BC",4.0,the culture at loccitane is very enjoyable there is a strong sense of trust and respect that the managers try to implement and i appreciated this a lot as a pt sales associate there is sometimes pressure to sell but its teamwide and there is also a strong focus on building relationships with customers the customers are often classy and polite and easy to work with i was working parttime during fulltime university and my managers were always extremely accommodating and understanding with my hours they are also very generous with employee discount and perks,there was often a lack of communication with our district manager as she was so incredibly busy hard to get in touch with her and get questions answered sometimes pay is good compared to standard retail but considering that this is a highend company it could be better,L'Occitane,0.0,0.25,0.75,0.8402
383,love it,"Nov 1, 2014", Sales Associate/Keyholder,"New York, NY",5.0,great pay part time allows me to attend college and do other things outside of work,none cons are subjective it all depends on what you are looking for,L'Occitane,0.0,0.192,0.808,0.6369
384,love it,"Oct 29, 2014", ,"New York, NY",5.0,great pay great products great customers,smelling all that stuff makes my head hurt,L'Occitane,0.0,0.192,0.808,0.6369
385,great brand horrible place to work,"Oct 28, 2014", Designer,"Toronto, ON",1.0,the often have events products that support charitable organizations maternity leave is loner than what most companies offer and of course great products with every launch they would provide all employees in the corporate office with something from the new launch,any problem you have will fall on deaf ears they use unpaid interns to do the work of someone who should have real experience its was a very negative work environment when i was there people were crying at work all the time no work life balance at all disorganized team with complete disregard for each others time,L'Occitane,0.302,0.345,0.353,0.1531
386,great for individuals with an entreprenurial spirit and willing make their personal success their own responsibility ,"Oct 25, 2014", Anonymous,"Los Angeles, CA",5.0,amazing coworkers monthly gratis is very generous programs available for growth dms are more active within the stores than other companies i have worked for correspondence between stores in the district is like no other company i have worked for lots of encouragement,daily reportsmemos are overwhelming at times flooding inbox be more conciencious around holidays with tasks to be done so we can leave earlier and enjoy time with family and friends,L'Occitane,0.0,0.578,0.422,0.8591
387,upper management have no clue how the daily business works very disconnected from reality,"Oct 18, 2014", Part Time Sales Associate,"Providence, RI",3.0,lovely customers hardworking and wonderful associates in store good employee discount great products love the true stories and the roots of the company,sales associates do of the work but get little or no recognition after more than years pay has only increases cents even though sales goals are met and exceeded dm hires friends from outside company rather than promote hardworking associates from within dm has no idea how to answer common questions or how to ring up a customer no recycling of product testers they are thrown in trash,L'Occitane,0.145,0.855,0.0,-0.296
388,lots of promises that were never fulfilled,"Oct 15, 2014", ,"Los Angeles, CA",2.0,decent pay gratis at the start of every campaign awesome coworkers,micromanaging from upper management managers will promise you a lot of things but cant deliver no room for advancement company likes to tout itself as natural and ecofriendly but pack a whole lot of chemicals in the products and are extremely wasteful no recycling everything has excess packaging associates are pushed to sell divine line of skincare even if it doesnt meet the customers budget or skincare needs associates are expected to do same amount of paperwork as manager without the hours or the pay computers and software are a joke it department is extremely unhelpful,L'Occitane,0.235,0.503,0.262,0.069
389,underpaid undervalued micro managed and overworked dont bother with this company,"Oct 3, 2014", Part Time Sales Associate,"Houston, TX",1.0,the products are good and most are made with natural and organic ingredients they have a loyal clientele who were mostly a pleasure to serve fellow sales associates and manager were great to work with staff discount is ,wages are low upper management has unrealistic demands for endless reporting and tasks with tight deadlines that leave little time for selling they expect one person to do the work of three people micro management gets in the way of sales customer service daily sales sales targets are often absurd for stores with lower traffic which makes it impossible to achieve the monthly bonus if you do make or surpass your sales target its still not good enough if you dont sell enough divine cream smaller stores have one person on staff to open close and are overwhelmed by too many tasks tight deadlines so much so that when a customer comes in they start to feel resentful the computer system is very slow and breaks down constantly the internet provider is in france they dont have emergency hour tech support twice it was down for hours which meant we had to do hand written sales all day then input all of these sales before the next days opening when the system was working again every month there are pages of new specials that require inputting different codes for each product half the time they dont work this makes the sales associate look unprofessional and keeps the customer waiting bad customer service many customers are in a hurry and simply walk out the company is very disorganized and communication is bad emails come in constantly from several different departments who obviously dont communicate with each other all have last minute tasks demands that will only take a minute but actually take hours to complete,L'Occitane,0.0,0.831,0.169,0.2584
390,inconsistent and unsettling,"Sep 13, 2014", Boutique Manager,"New York, NY",2.0,great products with great ingredients that work company cares about the environment and the impact it has on it,so disorganized they blame everyone for their mistakes no matter how hard you work you will not get promoted unless you have a friend in senior management they take no accountability for anything but demands accountability from boutique employees if you give a realistic view of the business and its shortcomings you are then excuse driven this company may care about the environment but cares nothing about its employees reviews are very negative feedback from senior management is very negative i imagine this was once a great company to work for not so much these days,L'Occitane,0.0,1.0,0.0,0.0
391,ok job no strategy french management that do not understand usa market,"Jul 9, 2014", Product Manager,"New York, NY",2.0,free products and summer hours,french management do not understand american market hr not really involved there is no marketing strategy at all,L'Occitane,0.153,0.694,0.153,0.0
392,really cool company and great people,"Jul 3, 2014", Anonymous,"New York, NY",5.0,great products people and benefits the company and im happy with my co workers and benefits love the products and gratis also i also really love shower oil must have,reading these reviews im so glad these negative people have moved on its so sad to read how nasty some people are loccitane has been good to me and helped me through loads of different issues i have faced i have nothing but positive to say,L'Occitane,0.0,0.374,0.626,0.7713
393,zero worklife balance with a hypocritical company,"Jun 26, 2014", Anonymous,"Westlake, OH",1.0,company attracts quality people discount,managers are just glorified sales associates with absolutely zero authority cant interviewhirepromote or give raises without dmcorporate approval dms insist on interviewing all part time associates and even some seasonals micromanaging from dms are corporate is unreal required to sell two face creams a day regardless of store trafficsales volume yes lower volume stores are held to the same goal as million dollar stores required to show the divine cream to every customer who sets foot in the store regardless of their actual interests which just leads to awkward interactions with customers who then perceive that you work on commission company preaches prosperity and simplicity but has dozens of metrics to meet on a daily basis divines skincare fragrance conversion increased atv and tickets all associates are held accountable to meeting these metrics and often have to explain slow days to nasty emails from corporate demanding an explanation store goals are completely inconsistent some are goaled up to last year while others are goaled up when you hit your monthly goals and earn bonus they just increase your stores goals to make it more difficult to bonus when some stores are performing at higher volume sales trends they increase the goals but then dont increase your bonus or available labor hours accordingly business decisions that make zero sense spend hundreds of thousands of dollars renovating low volume stores that havent shown sales increase in years but eliminate the learning and development team imagine the jobs that could have been createdretained if that money had been invested in associate education instead of giving underperforming stores an unnecessary facelift absolutely no worklife balance despite company claims most stores operate with only or four associates and stretch them to five days a week at just hour shifts which makes switching a shift or taking a legit sick day nearly impossible due to lack of employees available to cover extra shifts horrible training no management on boarding training instead you get a few days working in another store and are expected to learn as you go training on products is nonexistent part time associates are expected to be able to open and close by themselves after just days of training annual bonuses aka merit increases are insulting and generally just a increase and they find numerous ways to score you down so that you dont qualify for an increase proof the manager with the highest review score in the whole us scored just a out of thats how little they think of their whole management team,L'Occitane,0.375,0.625,0.0,-0.4588
394,they preach teamwork and unity and it couldnt be further from the truth,"Jun 19, 2014", ,"New York, NY",2.0,other people held hostage by an economy that is difficult to find make means in another company at the moment some of these people at mid to lower lever are some of the finest,abusive leaders almost military like approach without military intelligence ridiculously long work days hostile workplace unrealistic expectations inhumane treatment of anyone who does not fit theprofile or someone who doesnt have history with other across the pond,L'Occitane,0.0,0.839,0.161,0.3182
395,more bad memories than good,"Jun 19, 2014", Anonymous Employee,"New York, NY",2.0,real quality products you do learn a lot about running a business as an sm some amazing people at all different levels ,a lot of questionable leaders from dm level and up they break you and make you feel like you cant do anything else nothing is ever good enough hypcrisy in values and culture gossipy and sexist intimidating not inspiring upper management low level of ethics and regard for store teams and working environment,L'Occitane,0.391,0.31,0.299,-0.2247
396,great part time retail job,"May 29, 2014", Part Time Sales Associate,"New York, NY",5.0,generous off discount on highquality products the company makes each employee attend two training sessions at the corporate office in nyc to really understand everything about the products and how to sell them with each new campaign you get one or two free full size items from that campaignwhich is awesome ive learned a lot about skin care which is nice because ive incorporated it into my own daily routine they pay really well for a part time retail job plus of the time you get hour shifts so you are guaranteed to get a decent amount of hours per week,every employee is treated as a key holder therefore everyone is treated and expected to do all the work managers and assistant managers do my issue with this is that as a part time sales associate i do the same amount of workpaperwork as managersasst managers and dont make the amount of money they do company requires too much paperwork to be completed each opening and closing and even throughout the day in my opinion this should only be completed by management but again each employee is required to do it they are extremely strict about how you sell products if you dont follow the always with every single customer it can be an issue with your manager depending how relaxed they are,L'Occitane,0.0,0.494,0.506,0.6249
397,a great place to work,"May 27, 2014", Part Time Sales Associate,"London, England",5.0,free product every month discount is very generous working with great people my manager is very flexible and understanding,pay rate is quite bad compared to other companies not very competitive,L'Occitane,0.0,0.423,0.577,0.6249
398,never wanna leave yet always wanna quit,"May 23, 2014", ,"New York, NY",2.0,the product is amazing it is easy to sell because it works ive often enjoyed the personal relationships ive made with coworkers,the bonus structure is not ideal for associates manager turnover is high there is a lack of clear marketing and promotion direction all the time there is no positive reinforcement or expression of appreciation for sales associates work the company does not advertise they expect sales associates to bring the customers into the store which is problematic in that sales associates are merely parttime workers who get the bare minimum an hour,L'Occitane,0.0,0.839,0.161,0.0382
399,beautiful products with a beautiful message,"May 22, 2014", Part Time Sales Associate,"Toronto, ON",4.0,loccitane was such a thoughtful brand with lovely meanings and stories behind their products i really enjoyed sharing that with customers and they seemed to receive it really well i loved how several products were fair trade and the company was very responsible in informing its patrons of how important that is the management teams are very motivating and they push education over sales pitches my assistant manager and store manager were spectacular,the only thing i had a problem with was during visits when the regional educators were pushing us to sell they couldnt sell a darn thing all day i also didnt like offering strangers hand massages its very uncomfortable and although it sounds nice it is very awkward,L'Occitane,0.0,0.278,0.722,0.8316
400,unorganized,"Apr 22, 2014", Anonymous Employee,"Seattle, WA",1.0,the staff was amazing easy to coach,upper management needs to listen to there associates,L'Occitane,0.0,1.0,0.0,0.0
401,great products great customers awful leadership,"Apr 16, 2014", Sales Associate/Keyholder,Paris,2.0,the biggest perk amazing employee discount and free products with every new promotion i have so much product from loccitane now i felt really good about selling it to my customers because they really are high quality gentle and made from natural products they even give a portion of their shea sales to the women of burkina faso the company has a great mission,that being said it seems like the great ideas end in france and get completely corrupted once they hit the united states this winter our city had a cold snap that was much lower than we are used to i worked in the only outdoor mall in the state and we were required to have our doors open in below freezing weather we couldnt keep it warm in the store but our district manager said that we couldnt wear coats unless they were black wool dress coats and that we couldnt close the door upper management did not respond to safety concerns regarding our door lock malfunctioning our safe not locking or our store being dangerously cold to work in when we could not make sales plan during the coldest week on record for my city since the we had our hours drastically cut i went from guaranteed hours per week to hours every other week thats when i put in my notice to quit i was terminated without seeing or signing paperwork so i am not sure to this day if my severance paperwork says that i was fired or that i left they also didnt follow my citys pto law and never gave me my mandated sick leave after i became ill from working in a building that was less than degrees for several shifts,L'Occitane,0.211,0.211,0.577,0.7351
402,a changing culture with many struggles,"Apr 15, 2014", Anonymous Employee,"New York, NY",2.0, very dynamic environment due the shortterm business cycles proximity between sectors and services that allows a very comprehensive professional learning process bright and talented professionals that create a stimulating and quite friendly work environment good compensations , a very conservative and vielle france company culture despite some sincere change efforts countless meetings lengthy decision making processes even for simple and small changes lack of an efficient briefing culture same work has often to be redone several times very long work hours in order to compensate time and productivity lost in meetings afterhours and work during weekends are sadly part of the norm interns hardly seen as hiring material despite the several position openings,L'Occitane,0.385,0.615,0.0,-0.3612
403,a downhill spiral,"Apr 9, 2014", Anonymous,"Danbury, CT",2.0,employee discount gratis boutique hours,upper level management favoritism amongst district regional and store managers no work life balance no consideration for employees well being,L'Occitane,0.0,1.0,0.0,0.0
404,great entry level jo,"Apr 2, 2014", Anonymous Employee,"Malibu, CA",4.0,great people culture and products,not much room to grow,L'Occitane,0.0,0.423,0.577,0.6249
405,great products some great people unnecessary stress,"Feb 2, 2014", Sales Associate,"Washington, DC",4.0,if you are lucky and get to be a part of a fun and supportive team then it helps a lot products are wonderful the customers are great company contests gratis ,as a sales associate you are still required to be as responsible as the manager and asm the pay difference is so great but you still end up doing more than the ones in charge the motivation to move higher in the company isnt there my manager and asm were burnt out and always complaining the last minute campaign requirements were very unorganized the amount of emails the district gets is unnecessary micromanaging is not effective etc there is such a lack of sensitivity and so much hypocrisy the higher you go obviously a business wants to sell but the way they push is ridiculous your experience of the company definitely depends on which district you are a part of the dm was very fake in mine my manager cheated on her hours and in general the people in charge were the ones who made me hate the job some of the higher ups arent even aware of the crap they say a friend of mine from another district said their dm made a selling point for a hair oil that could be used as an eye makeup remover as well the same dm that pushes skincare was so ignorant to forget only ophthalmologist approved products can be used around the eye and dont get me started on an insensitive email that my regional manager sent one day when sales were low i loved the boutique and there were wonderful customers but i just ended up hating everything about the job that was bs the price of the products keep going up they have ecofriendly products yet our store didnt even have a recycle bin or a way to recycle all the glass containers from products once samples were used up tiny backroom that was dangerously overpacked with shipment always a computer issue at the worst times the company wants sales and complains about stores going over hrs when paying employees they expect too much even when there would usually be just one person in the store with too many customers and one associate some sales would always be lost,L'Occitane,0.187,0.267,0.547,0.7506
406,they do not care about their employees at all,"Feb 2, 2014", Sales Associate,"Newport Beach, CA",1.0,the relationship between the associates discount birthday gift card,i was very happy to work at loccitane for the first years they were very generous and had a good sense of ethics but it ended up going downhill the head office and the managers they hired are very incompetent they barely respond to our emails and phone calls all they care about is having someone on the floor selling the products we used to have gratis and tons of great contest with fun prizes that were really motivating now they were offering dairy queen gift certificates to the winners which i find very insulting and cheap considering that loccitane is a high end cosmetics brand the company doesnt think about the environment the amount of waste they produce and send us is insane and very hard to manage the turnover rate made things really hard sometimes they would ask some employees to work days a week alone or to fly to other cities because all the staff were gone the quality of the products and packaging declined a lot,L'Occitane,0.247,0.753,0.0,-0.3875
407,the experience was fine but management was difficult,"Jan 31, 2014", Store Manager,"New York, NY",3.0,the gratis was great and full size i enjoy the district i was in with other managers love the team i had,always changing every week the koi then include divine cream as a kpi no matter if my skin are was above the goal of to sales mostly at yet get in trouble because of it not being divine cream before i left many people were leaving dm regionals corporate people became dm it was crazy by the way they do not promote from within,L'Occitane,0.305,0.563,0.131,-0.431
408,great store managers are not enough corporate guidelines are out of touch with the day to day needs of customers,"Jan 19, 2014", Part Time Sales Associate,"Houston, TX",3.0,some flexibility with schedule and free samples are nice,do not value their employees cookie cutter approach to merchandising demonstrations etc often are scheduled to work alone in busy mall store,L'Occitane,0.0,0.823,0.177,0.6249
409,good environment awesome products good pay,"Nov 18, 2013", Sales Associate,"San Diego, CA",3.0,great products great pay for a student nice environment,management could be a pain at times but that is with any retail store unhappy costumers time to time do expect you to be perfect at all times,L'Occitane,0.105,0.15,0.744,0.8591
410,sales associate review,"Oct 12, 2013", Sales Associate,"Monterey, CA",4.0,great discount competitive pay popular brand respectful culture employees respected sales associates are also key holders best pay for most retail jobs,had bad management at my store eben dms seemed not that great would have loved to stay if not that my store manager got fired,L'Occitane,0.0,1.0,0.0,0.0
411,while working at loccitane i gained valuable customer service experience and helpful knowledge about natural products,"Oct 7, 2013", Sales Associate,"Omaha, NE",4.0,the nice customers gratis aka free products the smells ,the notsonice customers shipment holiday hours,L'Occitane,0.0,0.5,0.5,0.875
412,a lot of work but done in a calm work environment,"Sep 18, 2013", Accounts Payable Specialist,"New York, NY",4.0,easy going people nice work space equipment is up to date decent salaries,not much upward promotion corp employes have to work in stores during holiday black out day during the month of december,L'Occitane,0.0,0.731,0.269,0.4497
413,dreadful,"Aug 16, 2013", Sales Associate,"Santa Monica, CA",1.0,the products are great you also really connect with your stores team and become friends the discount offered to employees is good not great,very poor wages for the work required micro managed marketing has no idea what theyre doing and a lot of pressure falls on retail staff to get customers into the store sales targets are impossible to meet per month so any hopes of bonus are dashed hr is rude and unhelpful and will find any loopholes to undermine you the stores have high turn over rates because store level employees are held in low regard by head office they would rather fire someone than deal with an issue also gratis is usually pathetic,L'Occitane,1.0,0.0,0.0,-0.4404
414,wonderful company and excellent products,"Jul 31, 2013", Store Manager,"South Los Angeles, CA",5.0,strong training program for product knowledge and selling skills generous employee discount enabled us to purchase products for personal use,limited opportunity for growth due to small number of boutiques also not enough emphasis on succession planning and promoting from within many qualified candidates overlooked,L'Occitane,0.0,0.288,0.712,0.8126
415,loccitane is a wonderful company with exceptional ethics,"Jul 29, 2013", Anonymous Employee,"New York, NY",5.0,the company provides many paid trainings for new products and sales strategies the product is ecofriendly and fairtrade management is supportive and flexible,some of the sales techniques from the european standard do not translate very well to the states the price of the product is very high so meeting sales goals is not always easy,L'Occitane,0.0,0.619,0.381,0.5719
416,decent parttime,"Jun 9, 2013", ,"Washington, DC",3.0,great discounts good work environment,they dont care about their associates,L'Occitane,0.0,1.0,0.0,0.0
417,a relaxing part time job with many perks,"May 14, 2013", Part Time Sales Associate,"Washington, DC",3.0, the customers many of them have been shopping with loccitane for a long time this company attracts a loyal and friendly customer base and it is a great experience to assist them the products beautiful luxurious skincare and fragrances these are products you can feel good about selling the discount it is generous given the high price point of the products you probably wont be able to buy everything you want right away but the discount is a great incentive to explore the different product lines there is also gratis with nearly every campaign and that is a great perk to work for loccitane the pay it is competitive for the industry there is no commission but thats okay it encourages more of a team environment when selling additionally there are opportunities for a bonus if your store exceeds its sales goals the employees like any retail environment your experience with the company will largely depend on the people you work with on a daily basis i have worked at three different locations within the company and can attest to the talented and professional employees that loccitane attracts in my current store i have an inspiring and supportive manager and an exceptionally amazing team, advancement opportunities management positions are often filled by external candidates there are many sales associates that would like to grow with the company it would be great to see a program to develop their talents benefits are only available to full time employees and in the vast majority of boutiques the only full time employee is the manager part time employees are also not eligible for vacation pay sick pay or holiday pay the technology in stores can be frustrating computers are slow and crash frequently loccitane introduces many limited edition offerings which is exciting but a lot of customers are disappointed to discover that their favorite fragrancemoisturizeretc from four years ago is gone forever the french music will be stuck in your head long after your shift ends ,L'Occitane,0.0,0.652,0.348,0.4939
418,overall couldnt have asked for more from a part time job,"May 10, 2013", Anonymous Employee,"Dallas, TX",4.0,great staff discount nice smelling and clean work environment,head office managers are quite difficult to work with but ive heard theres been alot of changes made lately,L'Occitane,0.0,1.0,0.0,0.0
419,parttime key holder,"Mar 21, 2013", Key Holder,"Orlando, FL",4.0,great people good discount ,none i really like working here people are soo nice the only thing i can say is that music keeps looping and it get stuck to my head all day long,L'Occitane,0.0,1.0,0.0,0.0
420,awesome culture and products,"Nov 28, 2012", Trainer,"San Francisco, CA",4.0,amazing products beautiful stores great people who work sales,management is constantly changing the overall structure needs to be consistent,L'Occitane,0.0,0.423,0.577,0.6249
421,there were great to work for at the beginning,"Nov 2, 2012", Sales Associate,"Newport Beach, CA",3.0,they payed well and their discount was pretty good,hours fluctuated a lot i either had a lot of hours or no hours at all the managers can be lazy as well,L'Occitane,0.0,0.661,0.339,0.6249
422,horrible companyworst job i have ever had,"Oct 19, 2012", Store Manager,"New York, NY",1.0,not too many pros but the company has a loyal customer base and a quality product the company seems to care about the environment and doesnt test on animals,unbelievably disorganized the companys method of handling problems is to ignore them and hope they will go away the training is lacking the sales goals are unfair and unreachable the management is corrupt there is no loss prevention department and the hr department is a joke,L'Occitane,0.412,0.588,0.0,-0.5423
423,award winning products award winning employer,"Oct 17, 2012", Anonymous Employee,"New York, NY",5.0,where do i begin i have worked for loccitane for over five years and i simply adore this brand as it is so rich in ethics style passion and authenticity i am blessed to work for such a brand i feel so proud to work for loccitane and welcome our customers to what is a very special retail enviroment and truly unique customer shopping experience i adore our products there is constant innovation and freshness to our product range and they are so easy to sell as they create a moment of delight each time they touch the skin i respect with a true passion the work loccitane has done and continues to do in africa for the last twenty years and supports such amazing projects i love that i am accountable for delivering my results i dont know about you but i want to achieve and be rewarded for my hard work and loccitane has done this very well for me throughout my journey i am working for an ethical equal opportunity employer who has given me amazing opportunities and i have witnessed the most junior team members grow into industry professionals whist working at loccitane i would recommend loccitane as an employer should you be lucky enough to get the chance to join our team throughout the usa,i spend too much with the staff discount,L'Occitane,0.0,0.127,0.873,0.93
424,keeping the traditions and beauty of provence alive and well,"Oct 15, 2012", Anonymous Employee,"Dallas, TX",5.0, dynamic senior management ensures that store managers and staff stay engaged continually grow skills great opportunities for advancement a growing business a great time to join the team strong focus on culture values and philanthropy great discount fun environment beautiful products that are easy to fall in love with simple clearly defined and feasible expectations professional atmosphere a cadence of accountability and good rapport between managers, opportunity to continue improving on the engagement between managers,L'Occitane,0.0,0.452,0.548,0.8176
425,nice work environment awesome people,"Oct 10, 2012", Part Time Sales Associate,"Beverly Hills, CA",5.0,discount plus its a really stressfree way to earn some money,sometimes our goals are unrealistic skincare rituals sounds like it should involve animal sacrifice of some sort so please dont make me talk to customers about that,L'Occitane,0.0,0.303,0.697,0.7845
426,great products some great people bad upper management,"Jun 27, 2012", Full,"Lyndhurst, NJ",3.0,products are lovely and the employee discount is on par with what i have received in other companies i loved their product philosophy and the charity work the company engaged in they also hire talented people but lose them quickly due to bad upper management,i left for a couple of reasons while the company had a clear product philosophy their sales philosophy was fluid and ever changing depending on who you talked to the one constant was that you were never doing it all right they also handle personnel issues poorly when someone was hired who wasnt working out hr told you tough cookies our manager reported to his chain of command within a new employees probationary period that there was a problem and received no support by the time they finally did fire that person months later the staff of the store had turned over twice including two store managers in months,L'Occitane,0.21,0.299,0.491,0.6908
427,great atmosphere and product,"Jun 25, 2012", Sales Associate,"New York, NY",4.0,wonderful product training customers and environment one of the best retail environments i have worked for associates work well together not like b,pressure to sell specific products computer system goes down a lot sometimes store merchandising directives are more complicated than they need to be,L'Occitane,0.0,0.423,0.577,0.6249
428,task heavy lack of trainingunrealistic expectations of completing work load with little payroll and small staff,"Jan 26, 2012", Store Manager,"Walnut Creek, CA",1.0,good quality product pretty boutiques simple work uniformexcellent skincare a decent employee discount good benefits for full time employees,too much paperwork poor training for what this company expects of its employees the work load is excessive and demanding,L'Occitane,0.133,0.867,0.0,-0.3182
429,dont be fooled by the pretty packaging,"Dec 26, 2011", Store Manager,"Santa Barbara, CA",2.0,beautiful product loyal clientele some of the best ive worked with on both accounts,waste monthly window changes with props that were rarely kept waste year shelf life of product then its to be thrown away does soap really expire could it not be donated to hospices or shelters frequent shipments of already expired merchandise from corporate to stores unsafe some business practices put employee safety at risk unprofessional regionalcorporate management is completely ridiculous worrying more about the color of ribbons on boxes than actual ways to increase sales no product basic stock and promotional items were frequently out outdated systems promotions for customers rarely rang up correctly in the pos system inventory system was painfully inaccurate frequent freezes or crashes of the pos poor communication while some total falacies were told during the interviewing process the lack of listeningpoor communication on a daily basis is unmotivating frustrating and ultimately leads to seeking employment elsewhere,L'Occitane,0.0,0.482,0.518,0.658
430,worst job i have ever had ever,"Sep 24, 2011", Part Time Sales Associate,"Orlando, FL",1.0,quarterly gratis decent starting wage for retail some products are very nice mostly friendly customers,frequent display changes gifts with purchase run out long before campaign is over overpriced catty management no opportunities for advancement constant negativity and never any positive feedback you have to meet your individual sales goals each week but you do not get anything for it unless the entire shop meets its collective goal then everyone gets a meager bonus very little product training before you start selling on the floor frequent marketing changes with lastminute notice whiteglove store inspections strict all black business casual dress code products are discontinued all the time leading to disappointed and sometimes angry customers,L'Occitane,0.451,0.549,0.0,-0.6249
431,love the products but havent been trained,"Dec 28, 2010", Part Time Sales Associate,"Denver, CO",3.0,the customers are faithful and love the products and usually return again and again for more they appreciate the high quality of the product it is a joy to sell and product that people really love,i can only speak for the store i am in but so far after weeks i still have not received any product training they dont give the employees enough samples to try to the product so that we can be knowledgeable about what we are selling,L'Occitane,0.0,0.698,0.302,0.3818
432,its okay,"Dec 1, 2010", Sales Associate,"New York, NY",3.0,great products i actually more excited to work because of the discount than my pay check we mostly have very nice customer very layback working environment except for the holiday,they need to pay more if they ask us to do that much of work seem like its hard to extend to a better position within the company and they need to stop moving staff around from store to store just because the other store doesnt have enough staff ,L'Occitane,0.0,0.345,0.655,0.2263
433,very unsatisfactory,"Nov 16, 2010", Sales Associate/Keyholder,"San Diego, CA",1.0,the company is very unique in its concept and their line of products the standards are remarkable and they are fairly reasonably priced the clientele are one of those companies that can make one appreciate its customer base they have very little negative feedback when it comes to customer satisfaction they also have a very good employee discount and the average rate of pay is very competitive,respect of employees is completely nonexistent to the point they will give corrective actions and at times terminate employment for heresay situations the company has a very very high turnover rate due to disgruntled employees and there is an overwhelming office politics atmosphere they require a plethora of unrealistic tasks when it comes to staffing and visual merchandising and at times they tend to have somewhat unethical practices put upon employees when it comes to marketing especially during the holidays managerial staffing is sparse so there is a constant lack of communication operationally the company will use whatever tactic they can to cut corners from cutting off sufficient supplies to understaffing stores to where some sales employees are either working open to close shifts and some employees hours are reduced to virtually nothing yet the company spends an enormous amount of money on wasteful marketing many times promised incentives are discontinued without any sort of notice or any explanation or even alternative compensation,L'Occitane,0.0,1.0,0.0,0.0
434,good job if you dont really need it and dont want to advance from within,"Sep 24, 2010", Sales Associate,"Austin, TX",1.0,fun employees most managers are as well reasonable discount and gratis although it used to be better bonus incentive at the end of the month amazing products flexible hours for college students products very easy to sell,poor salary in comparison to corporate and median manager salaries raises from part time to full time have been as low as cents same false promises made to many employees as of late it seems all managers are either quitting or getting fired there is a complete lack of communication on the store and corporate level to the point of misdirection in the stores corporate and store employees are losing faith in the company and their positions due to all the firings in the recent months in addition to recent misdirection and confusion increased and somewhat unrealistic expectations of store employees the new store audits are absurd to the point where if a dust bunny is found under a piece of furniture it causes a considerable demerit in the review and a potential write upwarning,L'Occitane,0.071,0.759,0.169,0.3975
435,good company to work for,"Jul 25, 2010", Assistant Store Manager,"Pleasanton, CA",4.0, generous discount and quarterly free products good benefits time off and salary, no commission but you still have sales goals mandatory clothing requirements are not ideal for warmer climates ,L'Occitane,0.0,0.58,0.42,0.4404
436,sales associate,"Jul 22, 2010", Sales Associate,"London, England",5.0,beautiful product great training wonderful people,low payroll have to work hard to keep store looking its best,L'Occitane,0.0,1.0,0.0,0.0
437,completely unsatisfactory,"Oct 27, 2009", Part Time Sales Associate,"Calgary, AB",1.0,loccitane is fun for those that like competition its fun for those that love constant change too the best part about loccitane is that they are a small sized company and you make great relationships with the people you work with and serve on a day to day basis its a close knit company that keeps a lot of things private which is great for company moral,loccitane does not praise their best employees its really sad when a company has extremely hard working people that are not recognized for their hard work time and effort there are a lot of false promises going on between management and secrets i believe that the management in my area was immature irresponsible and unprofessional,L'Occitane,0.0,1.0,0.0,0.0
